الاسم,الرقم,سنة البداية,سنة النهاية,العصر,المساهمات,البدع المحاربة
"القديس مرقس الرسول",1,61,68,"العصر الرسولي","تأسيس الكنيسة القبطية في مصر وكتابة إنجيل مرقس ونشر المسيحية في شمال أفريقيا","الوثنية الرومانية"
"أنيانوس",2,68,85,"العصر الرسولي","تنظيم الكنيسة الأولى وتثبيت الإيمان المسيحي في مصر","الوثنية اليونانية"
"أبيليوس",3,85,98,"العصر الرسولي","تقوية الكنيسة ونشر التعليم المسيحي","الوثنية الرومانية"
"كدرون",4,98,109,"العصر الرسولي","الحفاظ على الإيمان المسيحي خلال الاضطهاد","الوثنية الرومانية"
"بريموس",5,109,121,"العصر الرسولي","تطوير النظام الكنسي والطقوس القبطية","الوثنية الرومانية"
"يسطس",6,121,131,"العصر الرسولي","تقوية الإيمان المسيحي وتوسيع انتشاره","الوثنية الرومانية"
"أومينيس",7,131,154,"العصر الرسولي","تطوير التعليم المسيحي والكتابات اللاهوتية","الوثنية الرومانية; الغنوسية"
"مرقيانوس",8,154,166,"العصر الرسولي","الدفاع عن الإيمان الأرثوذكسي","الغنوسية"
"كيلاديون",9,166,179,"العصر الرسولي","تنظيم الكنيسة وتطوير الطقوس","الغنوسية"
"أغريبينوس",10,179,189,"العصر الرسولي","تقوية الكنيسة ومواجهة التحديات","الغنوسية"
"يوليانوس",11,189,232,"العصر الرسولي","تطوير التعليم المسيحي والكنسي","الغنوسية"
"ديميتريوس الأول",12,189,232,"العصر الذهبي","تأسيس مدرسة الإسكندرية اللاهوتية ورسامة أوريجينوس","الغنوسية; المونتانية"
"هيراكلاس",13,232,248,"العصر الذهبي","تطوير مدرسة الإسكندرية وتقوية التعليم اللاهوتي","الغنوسية"
"ديونيسيوس العظيم",14,248,264,"العصر الذهبي","الدفاع عن الإيمان ضد الهرطقات والاضطهاد الروماني","السابيلية; الأريوسية المبكرة"
"مكسيموس",15,264,282,"العصر الذهبي","تقوية الكنيسة وتوسيع انتشارها","المانوية"
"ثيؤناس",16,282,300,"العصر الذهبي","تطوير النظام الكنسي والطقوس القبطية","المانوية"
"بطرس الأول (خاتم الشهداء)",17,300,311,"عصر الاضطهاد","الصمود في وجه أشد الاضطهادات الرومانية","الوثنية الرومانية"
"أخيلاس",18,311,312,"عصر الاضطهاد","قيادة الكنيسة في فترة انتقالية صعبة","الوثنية الرومانية"
"الكسندروس الأول",19,312,328,"عصر المجامع","مواجهة الأريوسية والدفاع عن الإيمان الأرثوذكسي","الأريوسية"
"أثناسيوس العظيم",20,328,373,"عصر المجامع","الدفاع عن لاهوت المسيح ومقاومة الأريوسية","الأريوسية"
"بطرس الثاني",21,373,380,"عصر المجامع","استكمال مسيرة أثناسيوس في الدفاع عن الإيمان","الأريوسية"
"تيموثاوس الأول",22,380,385,"عصر المجامع","تقوية الكنيسة وحماية الإيمان الأرثوذكسي","الأريوسية"
"ثيؤفيلس الأول",23,385,412,"عصر المجامع","تطوير التعليم المسيحي ومحاربة الوثنية","الوثنية; الأوريجانية"
"كيرلس الأول (العظيم)",24,412,444,"عصر المجامع","الدفاع عن وحدة طبيعة المسيح ومقاومة النسطورية","النسطورية"
"ديسقوروس الأول",25,444,451,"عصر المجامع","الدفاع عن الطبيعة الواحدة للمسيح","الخلقيدونية"
"تيموثاوس الثاني",26,457,477,"العصر القبطي المستقل","تأسيس الكنيسة القبطية المستقلة بعد خلقيدونية","الخلقيدونية"
"بطرس الثالث",27,477,490,"العصر القبطي المستقل","تقوية الكنيسة القبطية وتوحيد الصفوف","الخلقيدونية"
"أثناسيوس الثاني",28,490,496,"العصر القبطي المستقل","الحفاظ على الإيمان القبطي الأرثوذكسي","الخلقيدونية"
"يوحنا الأول",29,496,505,"العصر القبطي المستقل","تطوير النظام الكنسي القبطي","الخلقيدونية"
"يوحنا الثاني",30,505,516,"العصر القبطي المستقل","تقوية الروابط مع الكنائس الشرقية","الخلقيدونية"
"ديسقوروس الثاني",31,516,517,"العصر القبطي المستقل","الحفاظ على الإيمان الأرثوذكسي","الخلقيدونية"
"تيموثاوس الثالث",32,517,535,"العصر البيزنطي","مقاومة الضغوط البيزنطية على الكنيسة","الخلقيدونية"
"ثيؤدوسيوس الأول",33,535,566,"العصر البيزنطي","الصمود في وجه الاضطهاد البيزنطي","الخلقيدونية"
"بطرس الرابع",34,566,569,"العصر البيزنطي","الحفاظ على الكنيسة في ظروف صعبة","الخلقيدونية"
"داميان",35,569,605,"العصر البيزنطي","توحيد الكنائس الأرثوذكسية الشرقية","الخلقيدونية; الثالوثية الجديدة"
"أناستاسيوس",36,605,616,"العصر الإسلامي المبكر","قيادة الكنيسة في بداية العصر الإسلامي","الخلقيدونية"
"أندرونيكوس",37,616,622,"العصر الإسلامي المبكر","التكيف مع الواقع الجديد للحكم الإسلامي","الخلقيدونية"
"بنيامين الأول",38,622,661,"العصر الإسلامي المبكر","تأسيس علاقات طيبة مع الحكام المسلمين","الخلقيدونية"
"أغاثون",39,661,677,"العصر الإسلامي المبكر","تقوية الكنيسة وتطوير العلاقات مع السلطة","الخلقيدونية"
"يوحنا الثالث",40,677,686,"العصر الإسلامي المبكر","الحفاظ على الطقوس والتقاليد القبطية","الخلقيدونية"
"إسحاق",41,686,689,"العصر الإسلامي المبكر","تطوير العلاقات بين المسيحيين والمسلمين","الخلقيدونية"
"سيمون الأول",42,689,701,"العصر الإسلامي المبكر","الحفاظ على الكنيسة وتطوير إدارتها","الخلقيدونية"
"الكسندروس الثاني",43,701,729,"العصر الإسلامي المبكر","تقوية الروابط مع الكنائس الشرقية","الخلقيدونية"
"قزما الأول",44,729,730,"العصر الإسلامي المبكر","الحفاظ على استقرار الكنيسة","الخلقيدونية"
"ثيؤدوروس الأول",45,730,742,"العصر الإسلامي المبكر","تطوير التعليم المسيحي والكنسي","الخلقيدونية"
"خائيل الأول (ميخائيل الأول)",46,742,767,"العصر العباسي المبكر","التكيف مع الحكم العباسي الجديد","الخلقيدونية"
"مينا الأول",47,767,774,"العصر العباسي المبكر","تقوية الكنيسة في العصر العباسي","الخلقيدونية"
"يوحنا الرابع",48,774,799,"العصر العباسي المبكر","تطوير العلاقات مع الحكام العباسيين","الخلقيدونية"
"مرقس الثاني",49,799,819,"العصر العباسي المبكر","الحفاظ على التراث القبطي","الخلقيدونية"
"يعقوب",50,819,830,"العصر العباسي المبكر","تقوية الروابط بين الأقباط","الخلقيدونية"
"سيمون الثاني",51,830,849,"العصر العباسي","مواجهة التحديات الاقتصادية والاجتماعية","الخلقيدونية"
"يوساب الأول (يوسف الأول)",52,849,860,"العصر العباسي","تطوير النظام الإداري للكنيسة","الخلقيدونية"
"خائيل الثاني (ميخائيل الثاني)",53,880,907,"العصر العباسي","الصمود في وجه الضغوط السياسية","الخلقيدونية"
"غبريال الأول (جبرائيل الأول)",54,909,921,"العصر الفاطمي المبكر","التكيف مع الحكم الفاطمي","الخلقيدونية"
"قزما الثاني",55,921,932,"العصر الفاطمي","تقوية العلاقات مع الفاطميين","الخلقيدونية"
"مكاريوس الأول",56,932,952,"العصر الفاطمي","تطوير الكنيسة والتعليم المسيحي","الخلقيدونية"
"ثيؤفانيس",57,952,956,"العصر الفاطمي","الحفاظ على استقرار الكنيسة","الخلقيدونية"
"مينا الثاني",58,956,974,"العصر الفاطمي","تقوية الكنيسة وتوسيع نفوذها","الخلقيدونية"
"إبراهيم",59,975,978,"العصر الفاطمي","الحفاظ على التقاليد القبطية","الخلقيدونية"
"فيلوثيؤس",60,979,1003,"العصر الفاطمي","تطوير العلاقات مع المجتمع المسلم","الخلقيدونية"
"زكريا",61,1004,1032,"العصر الفاطمي","مواجهة اضطهاد الحاكم بأمر الله","الخلقيدونية"
"شنودة الأول",62,1032,1046,"العصر الفاطمي","إعادة بناء الكنيسة بعد الاضطهاد","الخلقيدونية"
"خريستوذولوس",63,1047,1077,"العصر الفاطمي المتأخر","تقوية الكنيسة وتطوير إدارتها","الخلقيدونية"
"كيرلس الثاني",64,1078,1092,"العصر الفاطمي المتأخر","الحفاظ على التقاليد الكنسية","الخلقيدونية"
"ميخائيل الثالث",65,1092,1102,"العصر الفاطمي المتأخر","تطوير العلاقات الخارجية للكنيسة","الخلقيدونية"
"مكاريوس الثاني",66,1102,1128,"العصر الأيوبي المبكر","التكيف مع التغيرات السياسية","الخلقيدونية"
"غبريال الثاني (جبرائيل الثاني)",67,1131,1145,"العصر الأيوبي","تقوية الكنيسة في العصر الأيوبي","الخلقيدونية"
"ميخائيل الرابع",68,1145,1146,"العصر الأيوبي","الحفاظ على استقرار الكنيسة","الخلقيدونية"
"يوحنا الخامس",69,1147,1166,"العصر الأيوبي","تطوير التعليم الكنسي","الخلقيدونية"
"مرقس الثالث",70,1166,1189,"العصر الأيوبي","الحفاظ على الطقوس القبطية","الخلقيدونية"
"يوحنا السادس",71,1189,1216,"العصر الأيوبي المتأخر","تقوية العلاقات مع الحكام الأيوبيين","الخلقيدونية"
"كيرلس الثالث ابن لقلق",72,1235,1243,"العصر الأيوبي المتأخر","مواجهة الحروب الصليبية وتأثيراتها","الخلقيدونية"
"أثناسيوس الثالث",73,1250,1261,"العصر المملوكي المبكر","التكيف مع الحكم المملوكي","الخلقيدونية"
"يوحنا السابع",74,1261,1268,"العصر المملوكي","تقوية الكنيسة في العصر المملوكي","الخلقيدونية"
"غبريال الثالث (جبرائيل الثالث)",75,1268,1271,"العصر المملوكي","الحفاظ على التقاليد الكنسية","الخلقيدونية"
"يوحنا الثامن",76,1300,1320,"العصر المملوكي","تطوير الإدارة الكنسية","الخلقيدونية"
"يوحنا التاسع",77,1320,1327,"العصر المملوكي","مواجهة التحديات الاقتصادية","الخلقيدونية"
"بنيامين الثاني",78,1327,1339,"العصر المملوكي","الحفاظ على استقرار الكنيسة","الخلقيدونية"
"بطرس الخامس",79,1340,1348,"العصر المملوكي","تقوية الكنيسة وتطوير إدارتها","الخلقيدونية"
"مرقس الرابع",80,1348,1363,"العصر المملوكي","الحفاظ على التقاليد القبطية","الخلقيدونية"
"يوحنا العاشر",81,1363,1369,"العصر المملوكي","مواجهة الصعوبات الاقتصادية","الخلقيدونية"
"غبريال الرابع (جبرائيل الرابع)",82,1370,1378,"العصر المملوكي","تطوير العلاقات مع السلطة المملوكية","الخلقيدونية"
"متى الأول",83,1378,1408,"العصر المملوكي المتأخر","قيادة الكنيسة في فترة انتقالية","الخلقيدونية"
"غبريال الخامس (جبرائيل الخامس)",84,1409,1427,"العصر المملوكي المتأخر","تقوية الكنيسة وتطوير تعليمها","الخلقيدونية"
"يوحنا الحادي عشر",85,1427,1452,"العصر المملوكي المتأخر","الحفاظ على التراث القبطي","الخلقيدونية"
"مرقس الخامس",86,1452,1466,"العصر المملوكي المتأخر","تطوير الكنيسة والتعليم المسيحي","الخلقيدونية"
"غبريال السادس (جبرائيل السادس)",87,1466,1475,"العصر المملوكي المتأخر","مواجهة التحديات السياسية","الخلقيدونية"
"ميخائيل الخامس",88,1477,1478,"العصر العثماني المبكر","التكيف مع الحكم العثماني الجديد","الخلقيدونية"
"يوحنا الثاني عشر",89,1480,1482,"العصر العثماني","تقوية الكنيسة في العصر العثماني","الخلقيدونية"
"غبريال السابع (جبرائيل السابع)",90,1525,1568,"العصر العثماني","تطوير الكنيسة والعلاقات مع السلطة","الخلقيدونية"
"يوحنا الثالث عشر",91,1568,1586,"العصر العثماني","الحفاظ على التقاليد الكنسية","الخلقيدونية"
"مرقس السادس",92,1586,1603,"العصر العثماني","تقوية الكنيسة وتطوير إدارتها","الخلقيدونية"
"يوحنا الرابع عشر",93,1603,1619,"العصر العثماني","مواجهة التحديات الاقتصادية","الخلقيدونية"
"متى الثاني",94,1631,1645,"العصر العثماني","تطوير التعليم المسيحي","الخلقيدونية"
